week, cumTotOrders, cumCusOrders, cumStoreOrders, cumCost, curTotOrders, curCusOrders, curStoreOrders, curCost, currentCount
1, 6356, 3686, 2670, 27577.15200939681, 44, 44, 0, 271.35095769013947, 44
1, 6399, 3729, 2670, 27846.82696959991, 43, 43, 0, 269.6749602031015, 43
1, 6509, 3769, 2740, 28190.880153646347, 110, 40, 70, 344.0531840464366, 42
51, 6595, 3805, 2790, 28512.706318293913, 86, 36, 50, 321.82616464756694, 37
1, 6632, 3842, 2790, 28771.73888974988, 37, 37, 0, 259.03257145596604, 37
1, 6684, 3894, 2790, 29055.673851178144, 52, 52, 0, 283.93496142826496, 52
51, 6767, 3927, 2840, 29374.20879910738, 83, 33, 50, 318.5349479292333, 34
1, 6812, 3972, 2840, 29647.210805518513, 45, 45, 0, 273.00200641113514, 45
1, 6928, 4018, 2910, 29996.79260900964, 116, 46, 70, 349.5818034911291, 48
1, 6971, 4061, 2910, 30266.467569212742, 43, 43, 0, 269.6749602031015, 43
51, 7066, 4106, 2960, 30597.766133347955, 95, 45, 50, 331.2985641352145, 46
1, 7098, 4138, 2960, 30847.0075563485, 32, 32, 0, 249.24142300054422, 32
1, 7161, 4171, 2990, 31143.438881074628, 63, 33, 30, 296.43132472612575, 34
1, 7199, 4209, 2990, 31404.321260694465, 38, 38, 0, 260.88237961983884, 38
51, 7358, 4248, 3110, 31784.520123166854, 159, 39, 120, 380.1988624723894, 42
1, 7391, 4281, 3110, 32035.7982958597, 33, 33, 0, 251.27817269284301, 33
1, 7430, 4320, 3110, 32298.498235803636, 39, 39, 0, 262.6999399439383, 39
1, 7467, 4357, 3110, 32557.5308072596, 37, 37, 0, 259.03257145596604, 37
51, 7623, 4393, 3230, 32935.44269156454, 156, 36, 120, 377.9118843049396, 39
1, 7654, 4424, 3230, 33182.6037977416, 31, 31, 0, 247.1611061770567, 31
1, 7693, 4463, 3230, 33445.303737685535, 39, 39, 0, 262.6999399439383, 39
1, 7742, 4512, 3230, 33724.678868792, 49, 49, 0, 279.3751311064591, 49
1, 7778, 4548, 3230, 33981.827843070314, 36, 36, 0, 257.1489742783178, 36
51, 7906, 4586, 3320, 34339.9864091718, 128, 38, 90, 358.1585661014858, 40
1, 7982, 4632, 3350, 34652.54558154551, 76, 46, 30, 312.5591723737189, 47
1, 8016, 4666, 3350, 34905.81922182215, 34, 34, 0, 253.2736402766418, 34
1, 8061, 4711, 3350, 35178.82122823329, 45, 45, 0, 273.00200641113514, 45
1, 8137, 4747, 3390, 35490.380400607006, 76, 36, 40, 311.5591723737189, 37
51, 8262, 4792, 3470, 35846.950553095216, 125, 45, 80, 356.57015248821097, 47
1, 8304, 4834, 3470, 36114.9235425974, 42, 42, 0, 267.97298950218305, 42
1, 8422, 4882, 3540, 36466.31086776631, 118, 48, 70, 351.3873251689181, 50
1, 8468, 4928, 3540, 36740.93993648033, 46, 46, 0, 274.6290687140218, 46
51, 8558, 4968, 3590, 37067.046965304435, 90, 40, 50, 326.1070288241023, 41
1, 8622, 5002, 3620, 37364.78967777905, 64, 34, 30, 297.742712474619, 35
1, 8709, 5049, 3660, 37688.69725877679, 87, 47, 40, 323.9075809977351, 48
1, 8783, 5093, 3690, 37998.89446754364, 74, 44, 30, 310.1972087668518, 45
1, 8857, 5127, 3730, 38308.0916763105, 74, 34, 40, 309.1972087668518, 35
51, 8949, 5169, 3780, 38636.295777778745, 92, 42, 50, 328.20410146824725, 43
1, 8987, 5207, 3780, 38897.178157398586, 38, 38, 0, 260.88237961983884, 38
1, 9070, 5250, 3820, 39216.71310532782, 83, 43, 40, 319.5349479292333, 44
51, 9191, 5291, 3900, 39569.775584363364, 121, 41, 80, 353.06247903554, 43
1, 9225, 5325, 3900, 39823.04922464, 34, 34, 0, 253.2736402766418, 34
1, 9264, 5364, 3900, 40085.74916458394, 39, 39, 0, 262.6999399439383, 39
1, 9332, 5402, 3930, 40388.61133568653, 68, 38, 30, 302.86217110259, 39
51, 9469, 5449, 4020, 40754.332657891384, 137, 47, 90, 365.72132220485213, 49
1, 9512, 5492, 4020, 41024.00761809449, 43, 43, 0, 269.6749602031015, 43
1, 9551, 5531, 4020, 41286.707558038426, 39, 39, 0, 262.6999399439383, 39
1, 9620, 5570, 4050, 41590.81969974863, 69, 39, 30, 304.1121417102006, 40
1, 9655, 5605, 4050, 41846.04962765841, 35, 35, 0, 255.22992790977875, 35
51, 9784, 5644, 4140, 42205.06322814956, 129, 39, 90, 359.01360049114555, 41
1, 9822, 5682, 4140, 42465.9456077694, 38, 38, 0, 260.88237961983884, 38
1, 9901, 5721, 4180, 42780.97635789953, 79, 39, 40, 315.03075013013313, 40
1, 9936, 5756, 4180, 43036.20628580931, 35, 35, 0, 255.22992790977875, 35
51, 10057, 5797, 4260, 43389.268764844855, 121, 41, 80, 353.06247903554, 43
1, 10101, 5841, 4260, 43660.619722535, 44, 44, 0, 271.35095769013947, 44
1, 10181, 5891, 4290, 43977.78947877924, 80, 50, 30, 317.1697562442441, 51
1, 10270, 5940, 4330, 44303.837344343316, 89, 49, 40, 326.0478655640733, 50
51, 10347, 5967, 4380, 44615.56300810984, 77, 27, 50, 311.72566376652986, 28
1, 10390, 6010, 4380, 44885.23796831295, 43, 43, 0, 269.6749602031015, 43
1, 10431, 6051, 4380, 45151.48192175647, 41, 41, 0, 266.24395344352433, 41
1, 10516, 6096, 4420, 45473.21894942755, 85, 45, 40, 321.73702767108114, 46
51, 10640, 6140, 4500, 45828.918345975704, 124, 44, 80, 355.6993965481514, 46
1, 10709, 6169, 4540, 46132.03048768591, 69, 29, 40, 303.1121417102006, 30
1, 10779, 6209, 4570, 46437.381248537815, 70, 40, 30, 305.3507608519078, 41
1, 10813, 6243, 4570, 46690.65488881445, 34, 34, 0, 253.2736402766418, 34
51, 10904, 6284, 4620, 47017.81395075322, 91, 41, 50, 327.1590619387661, 42
1, 10980, 6320, 4660, 47329.373123126934, 76, 36, 40, 311.5591723737189, 37
1, 11027, 6367, 4660, 47605.60617299652, 47, 47, 0, 276.2330498695885, 47
1, 11138, 6408, 4730, 47950.59289103737, 111, 41, 70, 344.9867180408456, 43
